"callsign","adep","ades","actualLandingTime"
"BTK6353","WAHS","WIII","2024-07-07T14:03:35.000Z"
"QTR954","OTHH","WIII","2024-07-07T14:29:17.000Z"
"UAE358","OMDB","WIII","2024-07-07T15:19:00.000Z"
"AWQ257","VTBD","WIII","2024-07-07T15:50:15.000Z"
"AWQ533","YPPH","WIII","2024-07-07T14:20:13.000Z"
"CCA475","ZUTF","WIII","2024-07-07T14:12:23.000Z"
"CES5069","ZSPD","WIII","2024-07-07T15:52:45.000Z"
"CTV9721","WARR","WIII","2024-07-07T16:31:09.000Z"
"BTK7170","WMKP","WIII","2024-07-07T14:09:40.000Z"
"ANA835","RJAA","WIII","2024-07-07T16:37:30.000Z"
"BTK7630","VTBD","WIII","2024-07-07T15:04:13.000Z"
"CTV527","WSSS","WIII","2024-07-07T14:40:20.000Z"
"AWQ211","WMKK","WIII","2024-07-07T15:57:59.000Z"
"CPA797","VHHH","WIII","2024-07-07T16:25:24.000Z"
"TNU9101","WADD","WIII","2024-07-07T16:33:17.000Z"
"OEY301","WAMM","WIII","2024-07-07T16:01:11.000Z"
"SJV905","WIEE","WIII","2024-07-07T15:01:17.000Z"
"CXA867","ZSAM","WIII","2024-07-07T16:46:15.000Z"
"PAL535","RPLL","WIII","2024-07-07T16:35:22.000Z"
"MXD318","WMKK","WIII","2024-07-07T16:21:30.000Z"
"CSN8353","ZGSZ","WIII","2024-07-07T16:48:29.000Z"
"CSN387","ZGGG","WIII","2024-07-07T16:23:16.000Z"
"OEY203","WAOO","WIII","2024-07-07T14:09:27.000Z"
"BTK7152","WSSS","WIII","2024-07-07T15:24:10.000Z"
"BTK7158","WSSS","WIII","2024-07-07T16:28:48.000Z"
"GIA863","VHHH","WIII","2024-07-07T16:58:05.000Z"
"CEB759","RPLL","WIII","2024-07-07T16:54:53.000Z"
"MAS727","WMKK","WIII","2024-07-07T16:11:16.000Z"
"GIA425","WADD","WIII","2024-07-07T14:51:35.000Z"
"CTV693","WADD","WIII","2024-07-07T16:51:38.000Z"
"LKN291","WAGI","WIII","2024-07-07T14:42:28.000Z"
"GIA837","WSSS","WIII","2024-07-07T16:03:19.000Z"
"SJV859","WIDD","WIII","2024-07-07T14:15:41.000Z"
"PAS105","WADD","WIII","2024-07-07T15:14:44.000Z"
"SJV925","WIPP","WIII","2024-07-07T14:22:18.000Z"
"SIA968","WSSS","WIII","2024-07-07T15:27:13.000Z"
"CTV421","WALL","WIII","2024-07-07T14:00:45.000Z"
"LNI673","WALL","WIII","2024-07-07T14:48:48.000Z"
"SJV853","WIDD","WIII","2024-07-07T15:17:37.000Z"
"MXD312","WMKK","WIII","2024-07-07T14:34:12.000Z"
"PAS203","WARR","WIII","2024-07-07T14:38:28.000Z"
"SJV873","WIPP","WIII","2024-07-07T15:21:49.000Z"
"SJV915","WIBB","WIII","2024-07-07T14:46:28.000Z"
"LNI687","WIOO","WIII","2024-07-07T16:14:40.000Z"
"OEY321","WAAA","WIII","2024-07-07T14:46:02.000Z"
"LNI373","WIDD","WIII","2024-07-07T15:43:22.000Z"
"LNI395","WIBB","WIII","2024-07-07T16:06:12.000Z"
"LNI673","WALL","WIII","2024-07-14T15:13:17.000Z"
"BTK6253","WALL","WIII","2024-07-14T15:31:06.000Z"
"CTV979","WIMM","WIII","2024-07-14T14:28:58.000Z"
"GIA193","WIMM","WIII","2024-07-14T15:18:02.000Z"
"GIA313","WARR","WIII","2024-07-14T14:25:37.000Z"
"SJY581","WAAA","WIII","2024-07-14T15:02:28.000Z"
"CTV719","WARR","WIII","2024-07-14T14:36:42.000Z"
"CTV693","WADD","WIII","2024-07-14T16:53:24.000Z"
"BTK6575","WARR","WIII","2024-07-14T15:53:08.000Z"
"CTV889","WIPP","WIII","2024-07-14T14:54:09.000Z"
"LNI383","WIMM","WIII","2024-07-14T14:45:46.000Z"
"BTK6377","WAHI","WIII","2024-07-14T14:05:11.000Z"
"BTK6371","WAHI","WIII","2024-07-14T15:21:24.000Z"
"BTK6511","WADD","WIII","2024-07-14T14:41:05.000Z"
"CTV427","WAAA","WIII","2024-07-14T16:56:17.000Z"
"AWQ811","WADD","WIII","2024-07-14T16:32:04.000Z"
"SVA5238","OEMA","WIII","2024-07-14T15:33:08.000Z"
"AWQ817","WADD","WIII","2024-07-14T16:05:04.000Z"
"BTK6293","WAAA","WIII","2024-07-14T14:21:01.000Z"
"BTK6231","WAAA","WIII","2024-07-14T15:23:38.000Z"
"SJV747","WADD","WIII","2024-07-14T14:16:07.000Z"
"SJV749","WADD","WIII","2024-07-14T15:07:42.000Z"
"SJV745","WADD","WIII","2024-07-14T16:13:01.000Z"
"LNI793","WAAA","WIII","2024-07-14T14:30:41.000Z"
"LNI703","WAAA","WIII","2024-07-14T15:04:55.000Z"
"SJV873","WIPP","WIII","2024-07-14T14:13:40.000Z"
"SJV767","WADL","WIII","2024-07-14T14:31:13.000Z"
"SJV847","WIJJ","WIII","2024-07-14T14:27:10.000Z"
"SVA826","OEJN","WIII","2024-07-14T16:21:49.000Z"
"UAE358","OMDB","WIII","2024-07-14T16:07:28.000Z"
"QTR954","OTHH","WIII","2024-07-14T15:41:21.000Z"
"TNU5105","WADD","WIII","2024-07-14T14:18:31.000Z"
"AXM386","WMKK","WIII","2024-07-14T16:10:24.000Z"
"AWQ533","YPPH","WIII","2024-07-14T14:23:12.000Z"
"AWQ257","VTBD","WIII","2024-07-14T14:46:50.000Z"
"CCA475","ZUTF","WIII","2024-07-14T14:18:28.000Z"
"MXD318","WMKK","WIII","2024-07-14T15:09:49.000Z"
"AWQ253","VTBD","WIII","2024-07-14T16:58:12.000Z"
"CTV9721","WARR","WIII","2024-07-14T15:59:12.000Z"
"CPA797","VHHH","WIII","2024-07-14T16:47:35.000Z"
"CTV527","WSSS","WIII","2024-07-14T14:37:02.000Z"
"CXA855","ZSFZ","WIII","2024-07-14T16:16:04.000Z"
"BTK7170","WMKP","WIII","2024-07-14T15:44:55.000Z"
"CXA837","ZSAM","WIII","2024-07-14T15:49:49.000Z"
"CDG2153","ZSAM","WIII","2024-07-14T16:19:06.000Z"
"ANA835","RJAA","WIII","2024-07-14T16:02:02.000Z"
"AWQ211","WMKK","WIII","2024-07-14T15:55:29.000Z"
"PAL535","RPLL","WIII","2024-07-14T16:35:12.000Z"
"CSN8353","ZGSZ","WIII","2024-07-14T16:50:25.000Z"
"AWQ209","WMKK","WIII","2024-07-14T16:25:56.000Z"
"PAS105","WADD","WIII","2024-07-14T15:15:32.000Z"
"PAS203","WARR","WIII","2024-07-14T14:02:12.000Z"
"BTK7630","VTBD","WIII","2024-07-14T15:38:53.000Z"
"JSA205","WSSS","WIII","2024-07-14T14:20:49.000Z"
"CEB759","RPLL","WIII","2024-07-14T16:41:43.000Z"
"BTK7152","WSSS","WIII","2024-07-14T14:57:27.000Z"
"GIA425","WADD","WIII","2024-07-14T14:10:18.000Z"
"BTK7158","WSSS","WIII","2024-07-14T16:45:05.000Z"
"OEY317","WAWW","WIII","2024-07-14T14:16:36.000Z"
"MAS727","WMKK","WIII","2024-07-14T16:28:58.000Z"
"PKECA","WATT","WIII","2024-07-14T14:44:07.000Z"
"SJV913","WIBB","WIII","2024-07-14T14:23:35.000Z"
"BTK6297","WAAA","WIII","2024-07-14T15:28:33.000Z"
"LNI373","WIDD","WIII","2024-07-14T15:36:20.000Z"
"CTV421","WALL","WIII","2024-07-14T14:52:42.000Z"
"SIA968","WSSS","WIII","2024-07-14T15:47:10.000Z"
"SJV853","WIDD","WIII","2024-07-14T15:00:01.000Z"
"CTV691","WADD","WIII","2024-07-14T15:25:36.000Z"
"GIA193","WIMM","WIII","2024-07-21T15:03:00.000Z"
"GIA613","WAAA","WIII","2024-07-21T15:24:33.000Z"
"CTV719","WARR","WIII","2024-07-21T14:53:37.000Z"
"CTV889","WIPP","WIII","2024-07-21T14:38:09.000Z"
"CTV427","WAAA","WIII","2024-07-21T14:09:56.000Z"
